x	baseline	max	best	g0	g1	g2	g3	g4	0f0	0f10	0f20	1f0	1f10	1f20	2f0	2f10	2f20	3f0	3f10	3f20	4f0	4f10	4f20	5f0	5f10	5f20	6f0	6f10	6f20
197	0.000000	1.000000	0.945305	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.961681	0.994513	1.000000	0.998639	0.998639	1.000000	0.976120	1.000000	1.000000	1.000000	0.984605	0.991523	0.997297	1.000000	0.997297	0.976120	0.996331	0.993807	1.000000	1.000000	0.994513
198	0.000000	1.000000	0.947442	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.963800	0.994672	1.000000	0.999196	0.999196	1.000000	0.977645	1.000000	1.000000	1.000000	0.987720	0.992942	0.998418	1.000000	0.998418	0.979131	0.997297	0.994513	1.000000	1.000000	0.997297
199	0.000000	1.000000	0.949206	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.965933	0.997269	1.000000	1.000000	1.000000	1.000000	0.987440	1.000000	1.000000	1.000000	0.988252	0.993304	0.998639	1.000000	0.998639	0.988252	0.998639	0.994672	1.000000	1.000000	0.998639
200	0.000000	1.000000	0.952771	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.970754	0.997297	1.000000	1.000000	1.000000	1.000000	0.987720	1.000000	1.000000	1.000000	0.992942	0.993807	1.000000	1.000000	0.999196	0.993304	0.999196	0.996331	1.000000	1.000000	0.999196
201	0.000000	1.000000	0.953043	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.970923	0.998639	1.000000	1.000000	1.000000	1.000000	0.988605	1.000000	1.000000	1.000000	0.993807	0.996331	1.000000	1.000000	1.000000	0.993807	1.000000	0.997297	1.000000	1.000000	1.000000
202	0.000000	1.000000	0.953895	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.973166	0.999196	1.000000	1.000000	1.000000	1.000000	0.989081	1.000000	1.000000	1.000000	0.994672	0.997297	1.000000	1.000000	1.000000	0.996331	1.000000	0.998639	1.000000	1.000000	1.000000
203	0.000000	1.000000	0.959013	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.974076	1.000000	1.000000	1.000000	1.000000	1.000000	0.992705	1.000000	1.000000	1.000000	0.996331	0.998418	1.000000	1.000000	1.000000	0.997297	1.000000	0.999196	1.000000	1.000000	1.000000
204	0.000000	1.000000	0.959113	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.975180	1.000000	1.000000	1.000000	1.000000	1.000000	0.993304	1.000000	1.000000	1.000000	0.997269	0.999196	1.000000	1.000000	1.000000	0.998418	1.000000	1.000000	1.000000	1.000000	1.000000
205	0.000000	1.000000	0.961919	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.976120	1.000000	1.000000	1.000000	1.000000	1.000000	0.993807	1.000000	1.000000	1.000000	0.997297	1.000000	1.000000	1.000000	1.000000	0.998639	1.000000	1.000000	1.000000	1.000000	1.000000
206	0.000000	1.000000	0.974076	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.978404	1.000000	1.000000	1.000000	1.000000	1.000000	0.997297	1.000000	1.000000	1.000000	0.998418	1.000000	1.000000	1.000000	1.000000	0.999196	1.000000	1.000000	1.000000	1.000000	1.000000
207	0.000000	1.000000	0.977645	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.991523	1.000000	1.000000	1.000000	1.000000	1.000000	0.998639	1.000000	1.000000	1.000000	0.999196	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
208	0.000000	1.000000	0.979131	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.994672	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
209	0.000000	1.000000	0.984605	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.995947	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
210	0.000000	1.000000	0.987276	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.996331	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
211	0.000000	1.000000	0.987720	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.997269	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
212	0.000000	1.000000	0.989081	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.997297	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
213	0.000000	1.000000	0.991336	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.998639	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
214	0.000000	1.000000	0.993807	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.998679	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
215	0.000000	1.000000	0.994513	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.999196	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
216	0.000000	1.000000	0.994672	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
217	0.000000	1.000000	0.995947	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
218	0.000000	1.000000	0.998679	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
219	0.000000	1.000000	0.999196	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
220	0.000000	1.000000	1.000000	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
221	0.000000	1.000000	1.000000	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
222	0.000000	1.000000	1.000000	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
223	0.000000	1.000000	1.000000	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
224	0.000000	1.000000	1.000000	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
225	0.000000	1.000000	1.000000	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
226	0.000000	1.000000	1.000000	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
227	0.000000	1.000000	1.000000	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
228	0.000000	1.000000	1.000000	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
229	0.000000	1.000000	1.000000	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
230	0.000000	1.000000	1.000000	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
231	0.000000	1.000000	1.000000	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
232	0.000000	1.000000	1.000000	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
233	0.000000	1.000000	1.000000	-0.666667	-0.333333	0.000000	0.333333	0.666667	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
